rfid,nom,prenom,date_naissance,date_embauche,email,telephone,adresse,equipe_id,poste_id,date_id,nom_equipe,description_x,chef_equipe,titre_poste,niveau_competence,description_y,requirements,tenure_years
F01F2548,Rocher,Noémi,1985-03-16,2018-03-08,noémi.rocher@company.com,01 45 53 37 78,"rue Lenoir, 51172 Saint Gilbert",5,5,,Équipe R&D,Recherche et développement,Thomas Petit,Technicien,Intermédiaire,Réparations et maintenance,2 ans d'expérience minimum,7.1
F0805F8F,Bernard,Xavier,1994-03-14,2017-03-08,xavier.bernard@company.com,0381771589,"75, rue Christophe Lenoir, 91273 Prévost-la-Forêt",3,12,,Équipe Logistique,Gestion des stocks et expéditions,Philippe Martin,Administratif,Senior,Coordination administrative,3 ans d'expérience minimum,8.1
F0B3B891,Guillot,Margot,1962-03-22,2016-03-08,margot.guillot@company.com,04 38 74 55 14,"45, rue Perez, 94160 Huet-sur-Vaillant",3,11,,Équipe Logistique,Gestion des stocks et expéditions,Philippe Martin,Administratif,Junior,Tâches administratives de base,Formation administrative,9.1
F5C7427B,Samson,Adélaïde,1988-03-15,2017-03-08,adélaïde.samson@company.com,+33 (0)3 29 73 16 99,"33, rue Pereira, 21969 Faivre",5,4,,Équipe R&D,Recherche et développement,Thomas Petit,Technicien,Débutant,Maintenance préventive,Formation technique,8.1
F8EC53F9,Clément,Antoinette,1973-03-19,2019-03-08,antoinette.clément@company.com,+33 (0)3 60 11 35 36,"281, chemin Michaud, 20473 Leblanc",1,11,,Équipe Production,Responsable de la production et fabrication,Jean Dupont,Administratif,Junior,Tâches administratives de base,Formation administrative,6.1
F8EFBD96,Durand,Élodie,1981-03-17,2022-03-07,élodie.durand@company.com,0373222372,"6, rue Bouvier, 97437 Traore",6,9,,Équipe Administrative,Gestion administrative et RH,Claire Dubois,Manager,Intermédiaire,Gestion d'équipe et planification,Expérience en management,3.1
F97BA928,Dumont,Margaud,1961-03-22,2016-03-08,margaud.dumont@company.com,+33 (0)3 59 90 09 96,"36, avenue Renard, 18269 Blanchet",2,2,,Équipe Maintenance,Maintenance des équipements et installations,Marie Lambert,Opérateur,Intermédiaire,Opération des machines complexes,1 an d'expérience minimum,9.1
FA4D72C5,Berthelot,Lorraine,1982-03-17,2017-03-08,lorraine.berthelot@company.com,+33 2 47 23 83 76,"95, rue Étienne Léger, 54854 Sainte Adélaïde",6,2,,Équipe Administrative,Gestion administrative et RH,Claire Dubois,Opérateur,Intermédiaire,Opération des machines complexes,1 an d'expérience minimum,8.1
FDC9A35C,Sauvage,Christophe,2002-03-12,2016-03-08,christophe.sauvage@company.com,0141972463,"boulevard Jules Lopes, 05551 Ruiz-sur-Dijoux",4,11,,Équipe Qualité,Contrôle et assurance qualité,Sophie Bernard,Administratif,Junior,Tâches administratives de base,Formation administrative,9.1
FE3798A6,Roche,Olivier,2002-03-12,2020-03-07,olivier.roche@company.com,+33 3 23 03 26 61,"96, avenue Joly, 72155 Pruvost-les-Bains",3,5,,Équipe Logistique,Gestion des stocks et expéditions,Philippe Martin,Technicien,Intermédiaire,Réparations et maintenance,2 ans d'expérience minimum,5.1
FEA8BEDC,Ferreira,Pauline,1971-03-20,2022-03-07,pauline.ferreira@company.com,+33 (0)7 85 72 36 69,"99, chemin de Leduc, 59751 PoulainBourg",6,11,,Équipe Administrative,Gestion administrative et RH,Claire Dubois,Administratif,Junior,Tâches administratives de base,Formation administrative,3.1
FF786673,Laporte,Joseph,1993-03-14,2017-03-08,joseph.laporte@company.com,+33 3 89 33 79 86,"24, rue Legrand, 45351 Benard-sur-Roger",6,3,,Équipe Administrative,Gestion administrative et RH,Claire Dubois,Opérateur,Expert,Opération et réglage de toutes les machines,3 ans d'expérience minimum,8.1
